temperature,mode,sweetness,hardness,preview_ok,detail
-13,eco,-1,-1,NO_PREVIEW,"missing_prices"
-13,eco,-1,0,NO_PREVIEW,"missing_prices"
-13,eco,-1,1,NO_PREVIEW,"missing_prices"
-13,eco,-1,2,NO_PREVIEW,"missing_prices"
-13,eco,0,-2,NO_PREVIEW,"missing_prices"
-13,eco,0,-1,NO_PREVIEW,"missing_prices"
-13,eco,0,0,NO_PREVIEW,"missing_prices"
-13,eco,0,1,NO_PREVIEW,"missing_prices"
-13,eco,0,2,NO_PREVIEW,"missing_prices"
-13,eco,1,-2,NO_PREVIEW,"missing_prices"
-13,eco,1,-1,NO_PREVIEW,"missing_prices"
-13,eco,1,0,NO_PREVIEW,"missing_prices"
-13,eco,1,1,NO_PREVIEW,"missing_prices"
-13,eco,1,2,NO_PREVIEW,"missing_prices"
-13,eco,2,-2,NO_PREVIEW,"missing_prices"
-13,eco,2,-1,NO_PREVIEW,"missing_prices"
-13,eco,2,0,NO_PREVIEW,"missing_prices"
-13,eco,2,1,NO_PREVIEW,"missing_prices"
-13,eco,2,2,NO_PREVIEW,"missing_prices"
