recipe_id,flavour_class,temperature,mode,sweetness,hardness,direction_status,delivered_pod,delivered_npac,zero_gram,total_g,runtime_ms
R08,banana,-11,optimal,1,1,ACHIEVED,20.47,37.54,0,1000,10
R08,banana,-11,optimal,1,2,ACHIEVED,20.20,37.01,0,1000,16
R08,banana,-11,optimal,2,-2,NEAREST,19.97,36.83,0,1000,60047
R08,banana,-11,optimal,2,-1,NEAREST,19.97,36.83,0,1000,55510
R08,banana,-11,optimal,2,0,ACHIEVED,22.60,40.44,0,1000,79
R08,banana,-11,optimal,2,1,ACHIEVED,22.61,39.99,0,1000,33
R08,banana,-11,optimal,2,2,ACHIEVED,22.62,37.49,0,1000,540
R09,mango / tropical,-11,optimal,-2,-2,NEAREST,22.35,35.79,0,1000,17580
R09,mango / tropical,-11,optimal,-2,-1,NEAREST,22.35,35.79,0,1000,19090
R09,mango / tropical,-11,optimal,-2,0,ACHIEVED,15.40,40.01,0,1000,32
R09,mango / tropical,-11,optimal,-2,1,ACHIEVED,15.40,37.60,0,1000,30
R09,mango / tropical,-11,optimal,-2,2,ACHIEVED,15.39,35.06,0,1000,23
R09,mango / tropical,-11,optimal,-1,-2,NEAREST,22.35,35.79,0,1000,19439
R09,mango / tropical,-11,optimal,-1,-1,NEAREST,22.35,35.79,0,1000,18932
R09,mango / tropical,-11,optimal,-1,0,ACHIEVED,17.77,40.01,0,1000,19
R09,mango / tropical,-11,optimal,-1,1,ACHIEVED,17.80,37.66,0,1000,23
R09,mango / tropical,-11,optimal,-1,2,ACHIEVED,17.57,35.06,0,1000,14
R09,mango / tropical,-11,optimal,0,-2,NEAREST,22.35,35.79,0,1000,22471
R09,mango / tropical,-11,optimal,0,-1,NEAREST,22.35,35.79,0,1000,23865
R09,mango / tropical,-11,optimal,0,0,ACHIEVED,19.39,40.01,0,1000,57
R09,mango / tropical,-11,optimal,0,1,ACHIEVED,19.68,37.60,0,1000,15
R09,mango / tropical,-11,optimal,0,2,ACHIEVED,19.86,35.05,0,1000,36
R09,mango / tropical,-11,optimal,1,-2,NEAREST,22.35,35.79,0,1000,31934
R09,mango / tropical,-11,optimal,1,-1,NEAREST,22.35,35.79,0,1000,27248
R09,mango / tropical,-11,optimal,1,0,ACHIEVED,21.79,40.05,0,1000,12
R09,mango / tropical,-11,optimal,1,1,ACHIEVED,21.66,37.62,0,1000,34
R09,mango / tropical,-11,optimal,1,2,ACHIEVED,22.35,35.79,0,1000,40
R09,mango / tropical,-11,optimal,2,-2,NEAREST,22.35,35.79,0,1000,23578
R09,mango / tropical,-11,optimal,2,-1,NEAREST,22.35,35.79,0,1000,22977
R09,mango / tropical,-11,optimal,2,0,ACHIEVED,22.68,40.15,0,1000,8
R09,mango / tropical,-11,optimal,2,1,ACHIEVED,22.64,37.54,0,1000,5
R09,mango / tropical,-11,optimal,2,2,ACHIEVED,22.62,35.78,0,1000,7
R10,lemon / citrus,-11,optimal,-2,-2,NEAREST,23.86,49.47,0,1000,58
R10,lemon / citrus,-11,optimal,-2,-1,NEAREST,21.21,46.94,0,1000,36
R10,lemon / citrus,-11,optimal,-2,0,ACHIEVED,14.82,40.28,0,1000,12
R10,lemon / citrus,-11,optimal,-2,1,ACHIEVED,15.40,38.20,0,1000,23
R10,lemon / citrus,-11,optimal,-2,2,ACHIEVED,15.39,35.23,0,1000,13
R10,lemon / citrus,-11,optimal,-1,-2,NEAREST,17.18,41.73,0,1000,51
R10,lemon / citrus,-11,optimal,-1,-1,ACHIEVED,15.94,47.08,0,1000,18
R10,lemon / citrus,-11,optimal,-1,0,ACHIEVED,15.86,40.71,0,1000,12
R10,lemon / citrus,-11,optimal,-1,1,NEAREST,17.80,37.67,0,1000,5
R10,lemon / citrus,-11,optimal,-1,2,ACHIEVED,17.80,35.21,0,1000,5
R10,lemon / citrus,-11,optimal,0,-2,NEAREST,19.96,41.87,0,1000,39
R10,lemon / citrus,-11,optimal,0,-1,NEAREST,18.67,46.82,0,1000,17
R10,lemon / citrus,-11,optimal,0,0,ACHIEVED,20.09,40.08,0,1000,1
R10,lemon / citrus,-11,optimal,0,1,ACHIEVED,20.20,37.51,0,1000,1
R10,lemon / citrus,-11,optimal,0,2,ACHIEVED,19.86,37.19,0,1000,1
R10,lemon / citrus,-11,optimal,1,-2,NEAREST,20.93,41.75,0,1000,14
R10,lemon / citrus,-11,optimal,1,-1,ACHIEVED,22.35,47.07,0,1000,3
