ingredient_id,name,category,subcategory,family,subfamily,form,role,profiles,capability,calibration_level,policy,blocked_reason,provenance,confidence
PI-ING-001137,LATTE B · Babbi Base Mix · 14853,base_mix,milk_powdered_ice_cream_mix,,,powder,STANDARD_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,standard_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001138,COPERTURA FINE BOTTIGLIA STRACCIATELLA · Babbi Paste · 13222,chocolate,chocolate_paste,chocolate_cocoa,,paste,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001139,FIBRA PLUS · Babbi Fiber · 1470171,fiber,fiber_additive,,,,STRUCTURAL_ONLY,,MAIN_TECHNICAL_BLOCKED,NONE,,structural_product_not_flavour_main,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001140,GOLOSA FONDENTE · Babbi Paste,chocolate,chocolate_paste,chocolate_cocoa,,paste,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001141,GOLOSA GIANDUIA · Babbi Paste · 12830,chocolate,chocolate_paste,chocolate_cocoa,,paste,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001142,GOLOSA PISTACCHIO B · Babbi Paste · 1230123,nut,pistachio_paste,nut,,paste,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001143,AMARENA · Babbi Variegato · 12603,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001144,CRANBERRY B · Babbi Variegato · 12671,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001145,FICHI CARAMELLATI · Babbi Variegato · 12628,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001146,FICHI CARAMELLATI · Babbi Variegato · 12626,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001147,FRAGOLINE · Babbi Variegato · 12627,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001148,LAMPONE ONE · Babbi Variegato · 12399,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001149,NEROKROK · Babbi Variegato · 12345,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001150,PESCA B · Babbi Variegato · 12670,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001151,PRALINE · Babbi Variegato · 12437,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001152,WAFERINI COCCO · Babbi Variegato · 12334,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001153,WAFERINI GIANDUIA · Babbi Variegato · 13918,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001154,WAFERINI LIMONE · Babbi Variegato · 12370,flavor_paste,variegato_layering_paste,,,flavour_paste,UNKNOWN_REQUIRES_EVIDENCE,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
PI-ING-001155,WAFERINI PISTACCHIO · Babbi Variegato · 12315,nut,pistachio_paste,nut,,paste,MAIN_ALLOWED,,MAIN_CAPABLE_UNCALIBRATED,NONE,,,mapper_basement v1.0 + published product_behavior_policy_versions,Verified
