n,seed,recipe_id,temperature,mode,sweetness,hardness,outcome,defect_class
329,1531649024,R23,-12,optimal,0,-1,PREVIEW,ok
330,102082816,R20,-11,optimal,-1,-2,PREVIEW,ok
331,658436608,R20,-11,optimal,0,0,PREVIEW,ok
332,843748672,R03,-12,eco,2,-1,PREVIEW,ok
333,1333647232,R16,-12,optimal,2,-2,PREVIEW,ok
334,1793540608,R18,-12,eco,0,1,PREVIEW,ok
335,646194432,R02,-13,eco,1,2,PREVIEW,ok
336,1264890112,R14,-13,optimal,0,2,PREVIEW,ok
337,970301440,R09,-12,eco,1,-2,PREVIEW,ok
338,2143044352,R23,-11,optimal,1,1,PREVIEW,ok
339,506683904,R04,-13,optimal,-1,-2,PREVIEW,ok
340,2013294912,R15,-13,eco,-2,-1,PREVIEW,ok
341,353463808,R04,-13,eco,-1,-1,PREVIEW,ok
342,1772922176,R18,-13,eco,1,2,PREVIEW,ok
343,1781060352,R08,-11,optimal,-2,0,PREVIEW,ok
344,632756224,R17,-12,optimal,2,2,PREVIEW,ok
345,455897152,R20,-13,optimal,-1,2,PREVIEW,ok
346,177172736,R09,-11,eco,0,1,PREVIEW,ok
347,2088782393,R05,-12,eco,-1,0,PREVIEW,ok
348,1131832064,R23,-13,optimal,0,-2,PREVIEW,ok
349,686037504,R18,-12,optimal,0,-2,PREVIEW,ok
350,243031296,R01,-11,optimal,2,-1,PREVIEW,ok
351,642993920,R24,-12,eco,-2,0,PREVIEW,ok
352,1407705344,R15,-11,optimal,1,0,PREVIEW,ok
353,1801581824,R20,-13,optimal,-1,-1,PREVIEW,ok
354,1749996160,R03,-12,optimal,2,-2,PREVIEW,ok
355,1124413504,R12,-12,eco,2,1,PREVIEW,ok
356,1221608192,R09,-13,eco,0,2,PREVIEW,ok
357,1195735552,R14,-12,eco,2,-2,PREVIEW,ok
358,835777024,R18,-13,optimal,1,0,PREVIEW,ok
359,1949799424,R03,-13,eco,-2,0,PREVIEW,ok
360,1300724736,R19,-13,eco,-2,1,PREVIEW,ok
361,707433984,R10,-13,optimal,-2,2,PREVIEW,ok
362,340511232,R22,-11,eco,-1,1,PREVIEW,ok
363,1416430592,R23,-13,optimal,1,2,PREVIEW,ok
364,241672960,R13,-13,eco,-2,0,PREVIEW,ok
365,381371648,R14,-11,eco,1,-1,PREVIEW,ok
366,1239417088,R06,-12,optimal,-1,0,PREVIEW,ok
367,1268421952,R24,-13,eco,1,-1,PREVIEW,ok
368,1041094400,R23,-12,eco,1,-2,PREVIEW,ok
369,1609763648,R21,-11,optimal,-1,0,PREVIEW,ok
370,836219392,R18,-13,eco,1,-2,PREVIEW,ok
371,34804224,R06,-11,optimal,1,0,PREVIEW,ok
372,562262528,R06,-12,eco,0,0,PREVIEW,ok
373,1288370176,R24,-11,optimal,1,-2,PREVIEW,ok
374,571407104,R17,-12,optimal,1,0,PREVIEW,ok
375,1059424064,R10,-13,eco,-2,0,PREVIEW,ok
376,1807348992,R09,-12,eco,-1,1,PREVIEW,ok
377,1086169920,R01,-12,eco,-1,2,PREVIEW,ok
378,1504936448,R18,-12,eco,1,-1,PREVIEW,ok
379,1411560704,R21,-12,eco,1,-2,PREVIEW,ok
380,72551040,R19,-11,optimal,0,0,PREVIEW,ok
381,74050944,R13,-13,eco,0,-2,PREVIEW,ok
382,2111947064,R17,-13,optimal,2,1,PREVIEW,ok
