market,role,owner_status,grams_owner,pi_ing,pi_name_2541,s1_pi,pr_ing,s2_pr,brand,product,pack,ean,s3_identifier,s4_market,s5_source,s6_technical,s7_role_vs_2541,verdict,issues,checks_required,s9_action,vs_baseline
US,STABILIZER,TARA_LOCAL_CONFIRMED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum — Home 50g,,819543011967,GTIN-12 (UPC-A),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
CH,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
SE,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
GB,STABILIZER,CROSS_BORDER_FALLBACK,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,5 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
IT,STABILIZER,TARA_LOCAL_CONFIRMED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,,8055728540170,GTIN-13 (EAN-13),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
DZ,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Cape Crystal Brands Tara Gum Powder,,711221973065,GTIN-12 (UPC-A),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
SA,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Cape Crystal Brands Tara Gum Powder,,711221973058,GTIN-12 (UPC-A),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
AR,STABILIZER,TARA_LOCAL_CONFIRMED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Goma Tara Grado Alimenticio Calidad Premium,,,NONE,NOT_RUN,1 URL(s),base=TRUE engines=TRUE status=Verified,OK,CHECKS_REQUIRED,,IDENTITY_WITHOUT_GTIN: prove by a first-party own-brand listing (D-37); never invent an EAN,VERIFY_OWN_BRAND_IDENTITY (D-37),SAME_PRODUCT
BH,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Modernist Pantry Pure Tara Gum Powder,,819543011967,GTIN-12 (UPC-A),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
BD,STABILIZER,MISSING / REVIEW_REQUIRED,,PI-ING-000492,TARA GUM · Stabilizer,OK,,PENDING_ASSIGNMENT,,Tara Gum — Home 50g,,819543011967,GTIN-12 (UPC-A),NOT_RUN,4 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,,NONE,SAME_PRODUCT
