market,role,owner_status,grams_owner,pi_ing,pi_name_2541,s1_pi,pr_ing,s2_pr,brand,product,pack,ean,s3_identifier,s4_market,s5_source,s6_technical,s7_role_vs_2541,verdict,issues,s9_action,vs_baseline
FR,SUCROSE,READY_PI,130,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,OK,NIE WYMAGANY,N/A_GLOBAL_PI,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,NONE,NOT_RUN,N/A_GLOBAL_PI,base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
FR,DEXTROSE,WYMAGA_GTIN,30,PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Louis François,Dextrose Monohydrate,1 kg,,NONE,NOT_RUN,5 URL(s),base=TRUE engines=TRUE status=Verified / Global Reference,OK,ISSUES,EAN:NONE,"REPORT_BACK_TO_OWNER (no substitution, D-26)",
FR,STABILIZER,KANDYDAT_PR,3,PI-ING-000492,TARA GUM · Stabilizer,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,SaporePuro,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,50 g,8055728540170,GTIN-13 (EAN-13),NOT_RUN,6 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
ES,MILK,KANDYDAT_PR,672,PI-ING-000236,MILK · 3.5% FAT · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Pascual,"Pascual Clásica Leche Entera UHT, 6 x1 L",6 x1 L (GTIN for retail multipack; not singlecarton),8410128010102,GTIN-13 (EAN-13),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
ES,CREAM,KANDYDAT_PR,130,PI-ING-000180,CREAM 30% · Mlekovita Cream · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Reny Picot,Reny Picot Nata líquida especial para montar 30% 200 ml,200 ml,8410379941019,GTIN-13 (EAN-13),NOT_RUN,2 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
ES,SMP,KANDYDAT_PR,35,PI-ING-000270,SKIMMED MILK POWDER · 0.8% FAT · Dairy · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Nestlé Sveltesse,Leche desnatada en polvo rica en calcio,puszka 400 g,8410100002330,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
ES,SUCROSE,READY_PI,130,PI-ING-000514,SUCROSE SUGAR · Sweetener · Dry,OK,NIE WYMAGANY,N/A_GLOBAL_PI,GENERIC,Biały cukier krystaliczny — 100% cukier,dowolne opakowanie,,NONE,NOT_RUN,N/A_GLOBAL_PI,base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
ES,DEXTROSE,WYMAGA_ETYKIETY,30,PI-ING-000494,DEXTROSE MONOHYDRATE · Sweetener · Dry,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Dayelet,DAYELET DEXTROSA,400 g,8437000514770,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Verified / Global Reference,OK,OK,,NONE,
ES,STABILIZER,KANDYDAT_PR,3,PI-ING-000492,TARA GUM · Stabilizer,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,SaporePuro,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,50 g,8055728540170,GTIN-13 (EAN-13),NOT_RUN,5 URL(s),base=TRUE engines=TRUE status=Verified,OK,OK,,NONE,
NL,MILK,KANDYDAT_PR,672,PI-ING-000236,MILK · 3.5% FAT · Chilled,OK,AUTO PO AKCEPTACJI,PENDING_ASSIGNMENT,Campina Langlekker,Campina Langlekker Volle Melk 1 L,1 L carton,8712800147770,GTIN-13 (EAN-13),NOT_RUN,3 URL(s),base=TRUE engines=TRUE status=Estimated / PI Calculated,OK,OK,,NONE,
